SIGUN_NM,SERVC_NM,SPORT_TARGET,SERVC_RINK_ADDR,CHARGE_DEPT_NM,APLCATN_METH,SPORT_CYCL
과천시,효행 장려금 지급,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005065&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 사회복지과,방문,월
포천시,포천시 전입 대학생 및 정착 제대군인 지원 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004887&wlfareInfoReldBztpCd=02,경기도 포천시 자치행정국 민원과,방문,1회성
이천시,이천시 화장장려금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004685&wlfareInfoReldBztpCd=02,경기도 이천시 복지환경국 노인장애인과,방문,월
과천시,초등학교 입학축하금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002561&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 교육청소년과,"방문, 인터넷",1회성
과천시,새 생명 탄생 출산축하용품 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003981&wlfareInfoReldBztpCd=02,경기도 과천시 보건소 건강증진과,방문,1회성
포천시,장애인가정 출산지원금 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003909&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 노인장애인과,방문,1회성
부천시,청년 면접정장 대여사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003041&wlfareInfoReldBztpCd=02,경기도 부천시 문화경제국 일자리정책과,,수시
광명시,무연고 행려사망자 장제비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000646&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 복지정책과,,1회성
과천시,신혼부부 주택전세자금 대출이자 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001512&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 복지정책과,방문,년
평택시,장애인통합복지카드(A형) 발급수수료 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001307&wlfareInfoReldBztpCd=02,경기도 평택시 복지국 노인장애인과,,월
포천시,장애인활동지원사업 시자체 사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001050&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 노인장애인과,방문,월
포천시,성인장애인을 위한 심리지원서비스,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001049&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 노인장애인과,방문,수시
의왕시,의왕시 화장장려금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002015&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 노인장애인과,방문,1회성
과천시,태아기형아검사 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001515&wlfareInfoReldBztpCd=02,경기도 과천시 보건소,방문,1회성
광명시,효행장려금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001561&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 어르신복지과,방문,1회성
과천시,장애인가정 출산지원금,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001484&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 사회복지과,방문,수시
광명시,보훈명예수당 및 위문금 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001450&wlfareInfoReldBztpCd=02,경기도 광명시 사회복지국 복지정책과,방문,월
용인시,용인시 취약계층 어르신 대상포진 무료 예방접종,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006180&wlfareInfoReldBztpCd=02,경기도 용인시 처인구보건소 보건정책과,방문,1회성
,일본군'위안부' 피해자 생활안정지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000717&wlfareInfoReldBztpCd=02,경기도 여성가족국 여성정책과,,월
,경기도 청소년복지시설 퇴소청소년 자립정착금 지급,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006073&wlfareInfoReldBztpCd=02,경기도 미래평생교육국 청소년과,"방문, 우편, E-mail",년
성남시,성남시 저소득 한부모가족 자녀 숙박형 현장학습비 지원,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005658&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,방문,1회성
성남시,성남시 저소득 한부모가족 생필품비 추가 지원,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005657&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,,반기
성남시,성남시 저소득 한부모가족 냉난방비 지원,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005656&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,,수시
평택시,복지사각지대 의료비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001344&wlfareInfoReldBztpCd=02,경기도 평택시 복지국 복지정책과,방문,년
여주시,여주시 청년 주택 임차보증금 이자 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005750&wlfareInfoReldBztpCd=02,경기도 여주시 문화복지국 복지행정과,"방문, 우편",년
광주시,입양아동 입학지원금 지급,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005679&wlfareInfoReldBztpCd=02,경기도 광주시 복지문화국 아동보육과,방문,1회성
,전세보증금반환보증 보증료 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005607&wlfareInfoReldBztpCd=02,경기도 평택시 도시주택국 주택과,"방문, 인터넷",1회성
,전세보증금 반환보증 보증료 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005426&wlfareInfoReldBztpCd=02,경기도 수원시 도시개발국 도시재생과,"방문, 인터넷",1회성
,경기도 장애인 누림통장,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004995&wlfareInfoReldBztpCd=02,경기도 복지국 장애인복지과,방문,월
,청년 어학·자격시험 응시료 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001451&wlfareInfoReldBztpCd=02,경기도 안양시 청년정책관,인터넷,년
군포시,중·고등학교 신입생 체육복 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000021&wlfareInfoReldBztpCd=02,경기도 군포시 행정지원국 교육체육과,방문,1회성
,산모 신생아 건강관리 지원사업(추가형),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001366&wlfareInfoReldBztpCd=02,경기도 구리시 보건소 지역보건과,"방문, 인터넷",1회성
,국가유공자 생활보조수당 지원,"저소득, 보훈대상자",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003847&wlfareInfoReldBztpCd=02,경기도 복지국 복지정책과,방문,월
,경기도 참전명예수당,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004511&wlfareInfoReldBztpCd=02,경기도 복지국 복지정책과,,1회성
광주시,법정저소득층 입학준비금,"저소득, 한부모·조손",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000285&wlfareInfoReldBztpCd=02,경기도 광주시 복지국 아동보육과,"인터넷, 방문",1회성
,독립유공자 의료비 지원사업,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003699&wlfareInfoReldBztpCd=02,경기도 복지국 복지정책과,,수시
광주시,셋째이상 자녀 양육비 지원,다자녀,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000286&wlfareInfoReldBztpCd=02,경기도 광주시 복지국 아동보육과,"방문, 인터넷",월
광주시,출산장려금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003153&wlfareInfoReldBztpCd=02,경기도 광주시 복지국 아동보육과,"방문, 인터넷",1회성
,보훈대상자 위문금 지원,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003781&wlfareInfoReldBztpCd=02,경기도 복지국 복지정책과,,1회성
평택시,평택시 다자녀가정 양육지원금 지급,다자녀,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001623&wlfareInfoReldBztpCd=02,경기도 평택시 복지국 아동복지과,방문,월
포천시,이웃돕기 사업,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004470&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 복지정책과,,년
양주시,효행장려지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005610&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,년
평택시,제1형 당뇨환자 의료비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005513&wlfareInfoReldBztpCd=02,경기도 평택시 평택보건소 건강증진과,방문,년
의왕시,아이돌봄 신규 및 120시간 이용자 확대지원,"한부모·조손, 다문화·탈북민, 다자녀",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006153&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 가족아동과,"방문, 전화",월
의왕시,아픈아이 홈케어,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006152&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 가족아동과,"방문, 전화",월
과천시,다자녀 양육바우처 지원,다자녀,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005403&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 가족아동과,방문,월
부천시,보훈명예수당 및 사망위로금 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004367&wlfareInfoReldBztpCd=02,경기도 부천시 복지위생국 복지정책과,방문,월
과천시,교통약자이동지원센터 운영,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000974&wlfareInfoReldBztpCd=02,경기도 과천시 건설도시국 교통과,"방문, 모바일, 인터넷, 전화",수시
의왕시,부랑인 및 행려자 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001490&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 복지정책과,,1회성
의왕시,저소득층건강보험료지원,"장애인, 한부모·조손, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001566&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 복지정책과,,월
과천시,"국민기초생활 보장지원(월동난방비, 대학생전공교재비, 이사비용, 쓰레기봉투비, 진단서 발급비용)",저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001491&wlfareInfoReldBztpCd=02,경기도 과천시 경제복지국 복지정책과,,수시
의왕시,장애인가정 출산지원금,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001565&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 노인장애인과,방문,수시
포천시,외국인주민 복지증진(세계인의 날 기념 행사),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001048&wlfareInfoReldBztpCd=02,경기도 포천시 문화복지국 가족여성과,,1회성
포천시,의사상자지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003346&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 복지정책과,방문,월
포천시,보훈명예(참전유공자) 수당,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003324&wlfareInfoReldBztpCd=02,경기도 포천시 복지환경국 복지정책과,방문,월
양주시,노숙인 및 행려자 보호,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003056&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,1회성
양주시,보훈대상자 사망위로금 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002996&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,1회성
양주시,보훈명예수당 지급,보훈대상자,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001046&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,월
양주시,보훈가족 예우시책 추진,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003148&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,월
오산시,보완적 출산장려지원 (첫째아이 이상 출산지원금 지급),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004253&wlfareInfoReldBztpCd=02,경기도 오산시 복지교육국 가족보육과,방문,1회성
의왕시,국가유공자 지원,"저소득, 보훈대상자",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001489&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 복지정책과,방문,월
양주시,양주시 출산축하금 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003125&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 가족보육과,방문,년
양주시,화장장려 정책 추진,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003126&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 사회복지과,방문,수시
의왕시,기초생활수급자 명절 위로금 지원,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000833&wlfareInfoReldBztpCd=02,경기도 의왕시 복지문화국 복지정책과,,수시
양주시,저소득층지원사업,"장애인, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003124&wlfareInfoReldBztpCd=02,경기도 양주시 복지문화국 복지지원과,,년
부천시,기초생활보장수급자 장제비 지원,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002575&wlfareInfoReldBztpCd=02,경기도 부천시 복지위생국 복지정책과,방문,1회성
부천시,저소득 장애인 지원(인공달팽이관 수술자 재활치료비),장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001199&wlfareInfoReldBztpCd=02,경기도 부천시 복지위생국 장애인복지과,방문,분기
부천시,저소득 장애인 지원(휠체어 수리비용 지원),"장애인, 저소득",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001369&wlfareInfoReldBztpCd=02,경기도 부천시 복지위생국 장애인복지과,방문,월
여주시,이재민행려자 구호,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001203&wlfareInfoReldBztpCd=02,경기도 여주시 행복지원국 복지행정과,,1회성
성남시,다자녀 안심보험,다자녀,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006151&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,방문,년
시흥시,시흥시 사회복지 종사자 복지포인트 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005755&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 복지정책과,,년
안양시,안양 청년 전월세보증금 대출이자 지원(청년 인터레스트(人.터.Rest)사업 ),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001808&wlfareInfoReldBztpCd=02,경기도 안양시 청년정책관,"방문, E-mail",분기
시흥시,신혼부부 전세대출금 이자지원 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005461&wlfareInfoReldBztpCd=02,경기도 시흥시 도시주택국 주택과,방문,년
하남시,2024년 하남시 자동차 무상 안전점검 사업 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005393&wlfareInfoReldBztpCd=02,경기도 하남시 교통건설국 차량등록과,,년
양평군,양평군 산후조리비 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005269&wlfareInfoReldBztpCd=02,경기도 양평군 보건소 건강증진과,"방문, 인터넷",1회성
시흥시,누구나 돌봄! 시흥돌봄SOS센터 운영,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005239&wlfareInfoReldBztpCd=02,경기도 시흥시 복지국 복지정책과,"전화, 방문, 인터넷",수시
광주시,산모·신생아 건강관리 지원사업 본인부담금 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005227&wlfareInfoReldBztpCd=02,경기도 광주시 보건소 건강증진과,방문,1회성
화성시,노인 보청기 및 성인용 보행기 지원 사업,"저소득, 장애인",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005079&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,방문,1회성
화성시,노인복지관 운영,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005011&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,,수시
성남시,자활민관합동연찬회,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005002&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 복지정책과,,년
시흥시,시흥시 노동취약계층 유급병가 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004964&wlfareInfoReldBztpCd=02,경기도 시흥시 경제국 기업지원과,"방문, 우편",1회성
화성시,독거노인 행복커뮤니티 지원 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001627&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,"방문, 전화",수시
성남시,성매매집결지 피해자 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003898&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,"방문, 전화",월
수원시,장애인활동지원 수원시 추가지원 사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003922&wlfareInfoReldBztpCd=02,경기도 수원시 복지여성국 장애인돌봄과,방문,월
성남시,중장년 1인가구 안전 알림서비스,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004047&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,"방문, 전화",1회성
성남시,1인가구 간병비 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004317&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 여성가족과,방문,수시
성남시,장애인 택시 바우처 지원,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001556&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 장애인복지과,방문,수시
화성시,저소득 한부모가족 난방비 지원 사업,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003790&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 여성다문화과,,월
화성시,청년 면접 지원 꿈나래,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002710&wlfareInfoReldBztpCd=02,경기도 화성시 복지국 청년청소년정책과,인터넷,수시
성남시,아동수당플러스 지원 사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004041&wlfareInfoReldBztpCd=02,경기도 성남시 복지국 아동보육과,"인터넷, 방문",월
시흥시,우리동네 아동 공공의료지원사업,한부모·조손,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000808&wlfareInfoReldBztpCd=02,경기도 시흥시 보건소 보건정책과,방문,1회성
광주시,건강치아멘토링 아동치과주치의사업,저소득,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003402&wlfareInfoReldBztpCd=02,경기도 광주시 보건소 건강증진과,전화,1회성
성남시,성남시 초등학생 치과주치의사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004040&wlfareInfoReldBztpCd=02,경기도 성남시 수정구보건소 건강증진과,"모바일앱, 모바일",1회성
화성시,효도수당 지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003401&wlfareInfoReldBztpCd=02,경기도 화성시 시민복지국 중장년노인복지과,방문,분기
하남시,장애인등록증 우편배송 사업,장애인,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000841&wlfareInfoReldBztpCd=02,경기도 하남시 복지문화국 노인장애인복지과,,월
